,ma_shap,group
cbcl_scr_syn_anxdep_t,1.1489938008024125,cbcl
cbcl_scr_07_stress_t,0.8856503748772434,cbcl
cbcl_scr_dsm5_depress_t,0.6744552872722736,cbcl
cbcl_scr_syn_aggressive_t,0.41391559718088244,cbcl
cbcl_scr_dsm5_conduct_t,0.38434619918945245,cbcl
cbcl_scr_syn_attention_t,0.3548366726161214,cbcl
cbcl_scr_dsm5_opposit_t,0.19632537063749042,cbcl
cbcl_scr_syn_rulebreak_t,0.14537365594655277,cbcl
cbcl_scr_syn_social_t,0.13744297925531865,cbcl
cbcl_scr_07_ocd_t,0.11870864183437078,cbcl
CP,0.11217983122097795,poly
RISKTOL,0.10571922246091998,poly
BIP,0.10375785334005487,poly
rh_rostralanteriorcingulate_thickness._.6,0.08478570197150112,brain
con_L-PrCG_R-RACG_fa,0.08266100103221835,brain
con_L-ITG_L-IN_fa,0.07336564876418561,brain
SCZ,0.06536917114681565,poly
tfmri_sstr1_263,0.06341295360447839,brain
HAPPINESS,0.062317299269139766,poly
con_L-CER_R-POP_fa,0.05758411479908974,brain
con_L-LG_L-PTR_fa,0.055510992259997866,brain
con_L-PaCG_R-CER_fa,0.05395815816363319,brain
con_L-MTG_R-SMG_fa,0.052222438258118925,brain
con_L-PU_R-LOFG_fa,0.05155505643249489,brain
tfmri_sstr1_515,0.05116398928877897,brain
tfmri_sstr1_232,0.0511265439663548,brain
tfmri_sstr1_508,0.04648889719638973,brain
con_L-ICG_R-PrCG_fa,0.04446341591384261,brain
GENERALHAPPINESS,0.039346706418338,poly
tfmri_sstr1_137,0.038961696215812115,brain
con_L-PU_R-PTR_fa,0.03883669348899275,brain
con_L-BSTS_R-PCG_fa,0.038314038198953494,brain
con_L-RMFG_R-LOG_fa,0.03669260901482776,brain
con_R-CACG_R-SMG_fa,0.0352149066132959,brain
con_L-CA_R-PCG_fa,0.03435475432872772,brain
con_R-HI_R-ICG_fa,0.03375923366043716,brain
tfmri_sstr1_616,0.03358796976711601,brain
AD,0.03331431048056111,poly
con_L-RMFG_R-PoCG_fa,0.029903531224746257,brain
cbcl_scr_syn_somatic_t,0.029307945608720184,cbcl
con_L-PrCG_L-AM_fa,0.02803468808205798,brain
GENERALHAPPINESS_MEANINGFUL,0.027431762855476702,poly
con_L-MTG_R-AM_fa,0.026845668686367574,brain
tfmri_sstr1_536,0.026393540601059796,brain
con_L-MTG_L-TTG_fa,0.02568100392423803,brain
con_R-TH_R-TP_fa,0.02516608268339187,brain
lh_parsorbitalis_meancurv._.3,0.025138701969757676,brain
rh_isthmuscingulate_thickness._.6,0.023268458492401986,brain
PTSD,0.022529885928984736,poly
tfmri_sstr1_497,0.02203561260448769,brain
ADHD,0.021626230322918855,poly
con_L-PaCG_L-RACG_fa,0.018118755293078718,brain
con_L-AM_R-PCG_fa,0.01808566177068278,brain
con_L-LG_L-MTG_fa,0.017696112079266458,brain
con_L-RACG_R-TH_fa,0.017507092300755905,brain
con_L-AM_R-AM_fa,0.01664107061990071,brain
con_L-PU_R-PHIG_fa,0.016299589955806732,brain
con_L-SFG_L-TTG_fa,0.01617193654063158,brain
tfmri_sstr1_313,0.016160411775065588,brain
GENERALHAPPINESS_HEALTH,0.016113140476029363,poly
con_L-MTG_L-POR_fa,0.016084638991206886,brain
con_L-CER_R-LOG_fa,0.01572274294225499,brain
con_L-PCU_R-CMFG_fa,0.01557818372529,brain
con_R-LOG_R-MTG_fa,0.01546800098195672,brain
tfmri_sstr1_191,0.015292562060430646,brain
con_L-SFG_R-MTG_fa,0.014380513699352742,brain
con_R-PrCG_R-SMG_fa,0.014177146442607045,brain
con_L-PoCG_L-AM_fa,0.013821970510482789,brain
con_L-RACG_L-RMFG_fa,0.013391267956886442,brain
con_L-ICG_L-IN_fa,0.012625862270686773,brain
wm.lh.lingual._.18,0.01261835173666477,brain
tfmri_sstr1_184,0.012574545457214117,brain
wm.lh.lateraloccipital._.18,0.012561371058272198,brain
con_L-LOFG_L-FP_fa,0.012552889509452507,brain
con_L-SFG_L-SPG_fa,0.012436996079981326,brain
con_L-HI_R-TH_fa,0.012401388272456825,brain
tfmri_sstr1_589,0.012232113844435663,brain
con_R-ICG_R-PTR_fa,0.012158507796749474,brain
tfmri_sstr1_231,0.01199536667978391,brain
con_L-LOFG_L-TTG_fa,0.011648576362058521,brain
tfmri_sstr1_279,0.011618604169599714,brain
con_L-PCG_R-PTR_fa,0.011547860914375634,brain
tfmri_sstr1_445,0.011502628931030632,brain
con_R-IPG_R-IN_fa,0.011490904295071961,brain
con_L-IPG_R-FG_fa,0.011457902870886029,brain
con_L-POP_L-PTR_fa,0.011236092195566743,brain
cbcl_scr_syn_thought_t,0.011206294819712638,cbcl
